id;morph;angle_vert_left_1;angle_vert_right_1;top_left_1;side_left_1;top_right_1;side_right_1;angle_vert_left_2;angle_vert_right_2;top_left_2;side_left_2;top_right_2;side_right_2;angle_ts_left_1;angle_ts_left_2;angle_ts_right_1;angle_ts_right_2;vert_mean_1;vert_mean_2;ts_mean_1;ts_mean_2,,,,,,,,,,,,,,,,
PC4217;PL;51;42;0,08;0,13;0,08;0,09;53;62;0,08;0,15;0,11;0,09;31,60750225;28,07248694;41,63353934;50,71059314;46,5;57,5;36,62052079;39,39154004
PC4218;PL;44;70;0,12;0,09;0,14;0,16;49;61;0,08;0,1;0,11;0,16;53,13010235;38,65980825;41,18592517;34,50852299;57;55;47,15801376;36,58416562,,
PC4237;PI;8;65;0,41;0,38;0,35;0,46;10;66;0,41;0,43;0,32;0,37;47,17474411;43,63607247;37,2664019;40,85537626;36,5;38;42,22057301;42,24572436,
PC4238;PI;39;41;0,77;0,9;0,66;0,8;49;54;0,54;0,59;0,66;0,79;40,548826;42,46644111;39,52263127;39,87683446;40;51,5;40,03572863;41,17163779,
PC4239;LB;18;8;0,47;0,65;0,3;0,55;31;11;0,46;0,68;0,3;0,54;35,86982352;34,07719528;28,61045967;29,0546041;13;21;32,24014159;31,56589969,,
PC4240;PI;41;57;0,52;0,41;0,51;0,42;47;56;0,6;0,5;0,56;0,54;51,74557965;50,19442891;50,52754015;46,04162668;49;51,5;51,1365599;48,11802779,
PC4241;PI;32;36;0,17;0,49;0,27;0,35;42;28;0,1;0,52;0,33;0,48;19,13364321;10,88552705;37,64762064;34,50852299;34;35;28,39063192;22,69702502,,
PC4242;PI;24;31;0,24;0,25;0,35;0,3;46;28;0,33;0,26;0,35;0,31;43,83086067;51,76617482;49,39870535;48,46822926;27,5;37;46,61478301;50,11720204,
PC4243;PI;35;61;0,61;0,61;0,54;0,67;31;53;0,58;0,61;0,57;0,48;45;43,55587447;38,8677775;49,89909245;48;42;41,93388875;46,72748346,,,
PC4245;PI;42;58;0,4;0,22;0,28;0,36;39;53;0,38;0,22;0,33;0,37;61,18920626;59,93141718;37,87498365;41,72951208;50;46;49,53209495;50,83046463,,
PC4249;PI;17;48;0,58;0,58;0,26;0,34;27;36;0,58;0,59;0,54;0,53;45;44,51030441;37,40535663;45,53545899;32,5;31,5;41,20267832;45,228817,
PC4250;PI;15;40;0,48;0,53;0,53;0,58;19;41;0,51;0,58;0,4;0,56;42,16588898;41,32550048;42,4208525;35,53767779;27,5;30;42,29337074;38,43158914,
PC4252;PI;39;18;0,38;0,42;0,24;0,47;29;20;0,38;0,43;0,19;0,5;42,13759477;41,46770542;27,05059701;20,80679101;28,5;24,5;34,59409589;31,13724821
PC4253;PI;38;22;0,36;0,33;0,23;0,27;44;21;0,35;0,33;0,26;0,29;47,48955292;46,68468432;40,42607874;41,87786954;30;32,5;43,95781583;44,28127693,
PC4254;PI;15;28;0,16;0,27;0,21;0,3;11;27;0,16;0,27;0,26;0,34;30,65066796;30,65066796;34,9920202;37,40535663;21,5;19;32,82134408;34,2801229,
PC4255;PI;82;53;0,46;0,42;0,28;0,24;80;25;0,41;0,36;0,4;0,23;47,6025622;48,71528911;49,39870535;60,10109816;67,5;52,5;48,50063378;54,40819363
PC4315;LB;30;31;0,45;0,53;0,54;0,77;31;23;0,45;0,7;0,54;0,76;40,33314163;32,73522627;35,0419294;35,39479584;30,5;27;37,68753552;34,6501106,
PC4317;LB;38;43;0,59;0,61;0,5;0,4;22;35;0,61;0,61;0,5;0,41;44,04515875;45;51,34019175;50,64824737;40,5;28,5;47,69267525;47,82412369,
PC4318;LB;76;59;0,59;0,32;0,42;0,38;60;30;0,58;0,15;0,48;0,37;61,52579639;75,49983323;47,86240523;52,37376636;67,5;45;54,69410081;63,9367998,
