id_me,morph,length_cm,weight_g,sex,mat,age,logCsize_dentary,logCsize_maxilla,logCsize_premaxilla,side,replica,bone,tooth_count
PC4240,PI,41,780,F,7,9,1.6082357,1.6444442,0.070488416,Right,May,Maxilla,18
PC4241,PI,35.6,490,F,7,12,1.4747506,1.4543679,-0.139703435,Right,May,Maxilla,17
PC4242,PI,33,425,M,5,9,1.6035308,1.6159891,0.092431063,Right,May,Maxilla,24
PC4243,PI,36,565,M,6,12,1.6598913,1.6832638,0.330115209,Right,May,Maxilla,21
PC4244,LB,32,345,M,5,4,1.2869663,1.374872,-0.035360849,Right,May,Maxilla,21
PC4245,PI,27.2,245,M,5,12,1.370126,1.363855,-0.145408932,Right,May,Maxilla,25
PC4246,SB,29.7,285,F,7?,5,1.2481107,1.2668626,-0.16362207,Right,May,Maxilla,17
PC4247,PL,29.9,270,F,7,7,1.2474466,1.2038618,-0.356434064,Right,May,Maxilla,20
PC4248,PL,26,180,F,7,7,1.0654421,1.0511679,-0.464332787,Right,May,Maxilla,18
PC4249,PI,47,1150,F,7,11,1.8024257,1.7600206,0.26209821,Right,May,Maxilla,21
PC4250,PI,45,905,F,7,7,1.7850672,1.7956688,0.252909723,Right,May,Maxilla,22
PC4251,PI,42.9,945,F,7,8,1.6318368,1.6200988,0.155059335,Right,May,Maxilla,22
PC4252,PI,32.8,430,M,6,7,1.5061542,1.4275362,-0.104775499,Right,May,Maxilla,20
PC4253,PI,31,360,F,6,7,1.3045043,1.3084047,-0.249951008,Right,May,Maxilla,24
PC4254,PI,31.5,340,F,7,10,1.3383702,1.333377,-0.328245706,Right,May,Maxilla,24
PC4255,PI,34.4,375,F,7,7,1.388602,1.4311301,-0.164883006,Right,May,Maxilla,23
PC4256,PI,28.9,265,M,6,8,1.3433663,1.3644274,-0.164970132,Right,May,Maxilla,21
PC4257,PI,29.6,265,M,5,7,1.3304506,1.2718684,-0.265524051,Right,May,Maxilla,23
PC4258,PI,30,240,F,7,8,1.3405054,1.3159993,-0.375087699,Right,May,Maxilla,23
PC4259,SB,29.4,265,F,7,5,1.0011376,1.2070753,-0.310234528,Right,May,Maxilla,21
PC4260,PL,24,160,M,3,6,1.2571031,1.2250592,-0.434284271,Right,May,Maxilla,21
PC4261,PL,25.8,155,F,7,7,1.1004072,1.0380778,-0.394555862,Right,May,Maxilla,18
