id_me,morph,length_cm,weight_g,logCsize_M,sex,age,sideLR,tooth,top,side,angle
PC4282,SB,20,80.29,0.9196667,M,,Left,1,0.32,0.23,54.2933086
PC4283,SB,16,44.21,0.6401857,F,,Left,1,0.26,0.12,65.2248594
PC4284,SB,18.5,75.44,0.7976486,F,,Left,1,0.31,0.21,55.8855271
PC4285,SB,17.5,67.88,0.7524852,F,,Left,1,0.25,0.2,51.3401918
PC4287,SB,14,28.88,0.5374793,F,,Left,1,0.16,0.09,60.6422465
PC4288,SB,11.8,23.27,0.388501,F,,Left,1,0.13,0.16,39.0938589
PC4290,SB,13,21.38,0.3818622,F,,Left,1,0.18,0.12,56.3099325
PC4291,SB,12.5,16.71,0.5413425,M,,Left,1,0.18,0.12,56.3099325
PC4292,SB,10.6,12.42,0.2674388,F,,Left,1,0.14,0.08,60.2551187
PC4293,SB,12.4,17.9,0.5206079,M,,Left,1,0.19,0.16,49.8990925
PC4294,SB,12.1,18.33,0.5377838,M,,Left,1,0.14,0.13,47.1210964
PC4295,SB,12.9,26.57,0.510491,M,,Left,1,0.23,0.16,55.1755108
PC4297,SB,11.1,14.46,0.230068,F,,Left,1,0.15,0.09,59.0362435
PC4298,SB,10.9,15.75,0.2927665,F,,Left,1,0.14,0.06,66.8014095
PC4299,SB,11.5,15.88,0.3786319,M,,Left,1,0.18,0.14,52.1250164
PC4300,SB,10.9,13.76,0.3919797,M,,Left,1,0.16,0.15,46.8476103
PC4303,PI,23.7,141.58,1.1227614,M,,Left,1,0.21,0.27,37.8749837
PC4305,LB,37.1,543.07,1.4812446,M,,Left,1,0.52,0.4,52.431408
PC4306,LB,34.2,550,1.3140327,M,,Left,1,0.36,0.3,50.1944289
PC4307,LB,50,1000,1.8277277,M,,Left,1,0.51,0.69,36.4692344
PC4308,LB,50.1,1195,1.8687329,M,,Left,1,0.71,0.48,55.9390912
PC4309,LB,52.1,1420,1.987697,M,,Left,1,0.54,0.63,40.6012947
PC4310,LB,38.8,610,1.627293,M,,Left,1,0.46,0.49,43.1912607
PC4311,LB,44,995,1.6431327,F,,Left,1,0.56,0.51,47.6754267
PC4312,LB,42.6,1080,1.568459,F,,Left,1,0.57,0.51,48.1798301
PC4313,LB,38.2,700,1.595413,M,,Left,1,0.51,0.5,45.5672664
PC4314,LB,45.1,1135,1.6724955,M,,Left,1,0.77,0.42,61.3895403
PC4315,LB,49,1565,1.9344247,M,,Left,1,0.48,0.69,34.8244892
