id_me,morph,length_cm,weight_g,logCsize_M,sex,age,sideLR,tooth,top,side,angle
PC3870,PL,20.5,81,0.8542629,F,7,Right,5,0.05,0.17,16.3895403
PC3873,PL,18.5,65,0.8136642,M,5,Right,5,0.06,0.12,26.5650512
PC3875,PL,21,103,0.9586296,M,5,Right,5,0.12,0.2,30.9637565
PC3876,PL,18.8,74,0.7692542,F,5,Right,5,0.1,0.12,39.8055711
PC3885,PL,19.1,72,0.8528283,M,5,Right,5,0.05,0.14,19.6538241
PC3896,PI,32.8,420,1.5156805,M,7,Right,5,0.23,0.42,28.7059525
PC3898,PI,45.6,1246,2.02753,M,10,Right,5,0.5,0.71,35.1541776
PC3900,PI,42.3,1091,1.6069573,F,8,Right,5,0.43,0.35,50.8560136
PC3901,PI,32.6,396,1.4128628,M,8,Right,5,0.42,0.38,47.8624052
PC3903,SB,17,56.35,0.6346327,F,,Right,5,0.18,0.16,48.3664607
PC3904,SB,12.9,28.22,0.4516642,F,,Right,5,0.13,0.05,68.962489
PC3905,SB,14.9,30.98,0.6168322,F,,Right,5,0.15,0.07,64.9831065
PC3906,SB,13.7,28,0.5517737,F,,Right,5,0.15,0.11,53.7461623
PC3907,SB,15,33.2,0.542951,F,,Right,5,0.15,0.14,46.974934
PC3908,SB,15.2,35.16,0.6542346,F,,Right,5,0.17,0.16,46.7357046
PC3909,SB,13.5,22.81,0.5668606,M,,Right,5,0.15,0.17,41.4236656
PC3910,SB,13,24.5,0.6118178,M,,Right,5,0.15,0.2,36.8698977
PC3912,SB,16.2,41.6,0.7224972,F,,Right,5,0.2,0.1,63.4349488
PC3913,SB,12.9,24.26,0.5436717,M,,Right,5,0.18,0.19,43.4518423
PC3914,SB,15.9,45.37,0.703114,F,,Right,5,0.16,0.17,43.2642954
PC3915,SB,13.7,26.47,0.6255865,M,,Right,5,0.17,0.12,54.782407
PC3916,SB,13.9,27.19,0.5047694,M,,Right,5,0.14,0.14,45
PC3917,SB,14.7,35.24,0.6151123,M,,Right,5,0.17,0.16,46.7357046
PC3918,SB,14.8,35.5,0.6437018,M,,Right,5,0.19,0.16,49.8990925
PC3919,SB,14.5,31.49,0.6159936,F,,Right,5,0.15,0.12,51.3401918
PC3921,SB,11.2,16,0.1868123,F,,Right,5,0.11,0.11,45
PC3922,SB,14.8,21.2,0.5529679,M,,Right,5,0.14,0.19,36.3843518
PC3923,SB,13.9,27.7,0.6413723,M,,Right,5,0.22,0.12,61.3895403
PC3924,SB,13.6,26.44,0.5046917,M,,Right,5,0.16,0.2,38.6598083
PC3925,SB,14.8,31.05,0.4958832,F,,Right,5,0.17,0.15,48.5763344
PC3926,SB,13.7,25.66,0.5866406,M,,Right,5,0.18,0.11,58.5704344
PC3927,SB,13.3,28.1,0.5107096,M,,Right,5,0.12,0.12,45
PC3929,SB,13.3,26.92,0.5551984,M,,Right,5,0.16,0.16,45
PC3931,SB,11.8,16.33,0.3344535,F,,Right,5,0.13,0.12,47.29061
PC3934,SB,11.1,14.32,0.2181833,M,,Right,5,0.14,0.1,54.4623222
PC3935,SB,10.4,11.87,0.1303157,M,,Right,5,0.11,0.11,45
PC4200,PL,12.3,22.18,0.4566677,M,,Right,5,0.06,0.13,24.7751406
PC4201,PL,14,29.18,0.636036,M,,Right,5,0.11,0.15,36.2538377
PC4202,PL,13.7,31.74,0.5689762,M,,Right,5,0.03,0.13,12.9946168
PC4203,PL,15,38.61,0.7029269,M,,Right,5,0.1,0.16,32.0053832
PC4204,PL,13.4,26.01,0.5801471,M,,Right,5,0.14,0.13,47.1210964
PC4205,PL,13.6,29.49,0.5518292,M,,Right,5,0.04,0.12,18.4349488
PC4206,PL,13.3,25.06,0.4802286,M,,Right,5,0.07,0.18,21.2505055
PC4208,PL,14.7,37.35,0.6539983,M,,Right,5,0.08,0.18,23.962489
PC4210,PL,17,52.56,0.729533,M,,Right,5,0.06,0.18,18.4349488
PC4211,PL,15.6,39.25,0.5924699,M,,Right,5,0.06,0.18,18.4349488
PC4212,PL,13.4,25.34,0.5594861,M,,Right,5,0.09,0.12,36.8698977
PC4213,PL,14.4,33.98,0.5186075,M,,Right,5,0.09,0.19,25.3461759
PC4214,PL,12,20.83,0.4061405,M,,Right,5,0.07,0.08,41.1859252
PC4216,PL,16.1,48.79,0.7072824,M,,Right,5,0.16,0.15,46.8476103
PC4217,PL,15.2,42.11,0.6077942,M,,Right,5,0.07,0.12,30.2564372
PC4218,PL,17.5,61.78,0.7672126,M,,Right,5,0.06,0.19,17.5255684
PC4219,SB,10.5,20.71,0.4251876,M,,Right,5,0.22,0.14,57.5288077
PC4220,SB,14.2,21.42,0.6014619,M,,Right,5,0.17,0.15,48.5763344
PC4221,SB,20.8,102.75,0.9806895,F,,Right,5,0.16,0.27,30.650668
PC4222,SB,14.1,32.86,0.7337661,M,,Right,5,0.19,0.19,45
PC4223,SB,14.3,31.8,0.4826848,F,,Right,5,0.19,0.18,46.5481577
PC4225,SB,16,44.77,0.5374071,F,,Right,5,0.22,0.16,53.9726266
PC4226,SB,11.9,14.48,0.3361367,F,,Right,5,0.17,0.15,48.5763344
PC4227,SB,13.6,27.99,0.7040514,M,,Right,5,0.16,0.15,46.8476103
PC4228,SB,20.2,103.34,0.9322941,F,,Right,5,0.3,0.2,56.3099325
PC4229,SB,17,71.77,0.7528639,F,,Right,5,0.16,0.16,45
PC4230,SB,14.2,32.22,0.5756849,F,,Right,5,0.19,0.19,45
PC4232,SB,24.2,147.58,1.0602409,F,,Right,5,0.29,0.26,48.1221305
PC4237,PI,43.2,980,1.7342305,F,,Right,5,0.44,0.5,41.3477772
PC4238,PI,50,1795,2.1919838,M,,Right,5,0.66,0.82,38.8298249
PC4239,LB,43.4,995,1.7650706,M,,Right,5,0.46,0.61,37.0198863
PC4240,PI,41,780,1.6444442,F,,Right,5,0.51,0.53,43.8982939
PC4241,PI,35.6,490,1.4543679,F,,Right,5,0.29,0.44,33.3885136
PC4242,PI,33,425,1.6159891,M,,Right,5,0.33,0.45,36.2538377
PC4243,PI,36,565,1.6832638,M,,Right,5,0.55,0.59,42.9904462
PC4245,PI,27.2,245,1.363855,M,,Right,5,0.4,0.29,54.0578881
PC4246,SB,29.7,285,1.2668626,F,,Right,5,0.32,0.23,54.2933086
PC4249,PI,47,1150,1.7600206,F,,Right,5,0.6,0.51,49.6354634
PC4250,PI,45,905,1.7956688,F,,Right,5,0.56,0.51,47.6754267
PC4251,PI,42.9,945,1.6200988,F,,Right,5,0.43,0.47,42.4551956
PC4252,PI,32.8,430,1.4275362,M,,Right,5,0.29,0.44,33.3885136
PC4253,PI,31,360,1.3084047,F,,Right,5,0.22,0.35,32.1522951
PC4254,PI,31.5,340,1.333377,F,,Right,5,0.16,0.24,33.6900675
PC4255,PI,34.4,375,1.4311301,F,,Right,5,0.38,0.23,58.8150253
PC4256,PI,28.9,265,1.3644274,M,,Right,5,0.3,0.33,42.273689
PC4257,PI,29.6,265,1.2718684,M,,Right,5,0.25,0.29,40.7636052
PC4258,PI,30,240,1.3159993,F,,Right,5,0.18,0.18,45
PC4263,PL,26.4,185,1.0768645,F,,Right,5,0.27,0.21,52.1250164
PC4264,PL,22,125,1.0597176,M,,Right,5,0.2,0.16,51.3401918
PC4266,PL,25,160,1.0378989,F,,Right,5,0.15,0.23,33.111342
PC4267,PL,27.1,200,1.2210298,F,,Right,5,0.25,0.27,42.7974018
PC4268,SB,22,98.33,0.9926104,F,,Right,5,0.29,0.23,51.5819447
PC4269,SB,22.5,113.25,1.061864,M,,Right,5,0.2,0.25,38.6598083
PC4270,SB,21.9,111.02,1.0348432,F,,Right,5,0.27,0.22,50.826342
PC4271,SB,20.2,82.76,0.8076641,F,,Right,5,0.25,0.13,62.5255684
PC4272,SB,19.6,78.88,0.8258154,F,,Right,5,0.27,0.26,46.0809242
PC4273,SB,20.6,100.88,0.9025003,F,,Right,5,0.23,0.19,50.440332
PC4274,SB,19,77.67,0.8481039,F,,Right,5,0.25,0.21,49.9697407
PC4275,SB,18.6,70.99,0.7715224,F,,Right,5,0.21,0.19,47.8624052
PC4276,SB,17.8,73.1,0.8058694,F,,Right,5,0.18,0.18,45
PC4277,SB,18.9,78.02,0.7546978,F,,Right,5,0.14,0.16,41.1859252
PC4278,SB,19.1,84.33,0.8445676,F,,Right,5,0.25,0.15,59.0362435
PC4279,SB,20.5,82.97,1.0346174,M,,Right,5,0.23,0.2,48.9909131
PC4280,SB,19,75.13,0.940296,M,,Right,5,0.22,0.23,43.72697
PC4281,SB,13,19,0.4480576,F,,Right,5,0.13,0.1,52.431408
PC4282,SB,20,80.29,0.9196667,M,,Right,5,0.24,0.25,43.8308607
PC4283,SB,16,44.21,0.6401857,F,,Right,5,0.22,0.16,53.9726266
PC4284,SB,18.5,75.44,0.7976486,F,,Right,5,0.21,0.17,51.009006
PC4285,SB,17.5,67.88,0.7524852,F,,Right,5,0.2,0.21,43.602819
PC4287,SB,14,28.88,0.5374793,F,,Right,5,0.16,0.13,50.9061411
PC4288,SB,11.8,23.27,0.388501,F,,Right,5,0.16,0.1,57.9946168
PC4290,SB,13,21.38,0.3818622,F,,Right,5,0.16,0.15,46.8476103
PC4291,SB,12.5,16.71,0.5413425,M,,Right,5,0.16,0.16,45
PC4292,SB,10.6,12.42,0.2674388,F,,Right,5,0.16,0.12,53.1301024
PC4293,SB,12.4,17.9,0.5206079,M,,Right,5,0.15,0.14,46.974934
PC4294,SB,12.1,18.33,0.5377838,M,,Right,5,0.17,0.2,40.3645366
PC4295,SB,12.9,26.57,0.510491,M,,Right,5,0.17,0.15,48.5763344
PC4297,SB,11.1,14.46,0.230068,F,,Right,5,0.13,0.11,49.7636417
PC4298,SB,10.9,15.75,0.2927665,F,,Right,5,0.17,0.08,64.7988764
PC4299,SB,11.5,15.88,0.3786319,M,,Right,5,0.16,0.08,63.4349488
PC4300,SB,10.9,13.76,0.3919797,M,,Right,5,0.17,0.11,57.0947571
PC4303,PI,23.7,141.58,1.1227614,M,,Right,5,0.3,0.26,49.0856168
PC4305,LB,37.1,543.07,1.4812446,M,,Right,5,0.51,0.43,49.8645144
PC4306,LB,34.2,550,1.3140327,M,,Right,5,0.37,0.31,50.0424511
PC4307,LB,50,1000,1.8277277,M,,Right,5,0.55,0.66,39.8055711
PC4308,LB,50.1,1195,1.8687329,M,,Right,5,0.7,0.58,50.355825
PC4309,LB,52.1,1420,1.987697,M,,Right,5,0.49,0.45,47.4366483
PC4310,LB,38.8,610,1.627293,M,,Right,5,0.48,0.44,47.4895529
PC4311,LB,44,995,1.6431327,F,,Right,5,0.54,0.45,50.1944289
PC4312,LB,42.6,1080,1.568459,F,,Right,5,0.42,0.35,50.1944289
PC4313,LB,38.2,700,1.595413,M,,Right,5,0.41,0.35,49.5139885
PC4314,LB,45.1,1135,1.6724955,M,,Right,5,0.69,0.58,49.9502722
PC4315,LB,49,1565,1.9344247,M,,Right,5,0.51,0.59,40.8403577
PC4316,LB,49.8,1370,1.9711637,M,,Right,5,0.9,0.46,62.9279198
PC4317,LB,43.8,1030,1.6160668,F,,Right,5,0.4,0.38,46.4688007
PC4318,LB,36.3,545,1.5068619,M,,Right,5,0.42,0.32,52.6960517
PC4319,LB,47.4,1085,1.6879065,F,,Right,5,0.48,0.3,57.9946168
PC4320,LB,32.9,385,1.3119226,M,,Right,5,0.31,0.35,41.5317707
PC4321,LB,30.8,320,1.3107995,M,,Right,5,0.4,0.43,42.9299694
PC4322,LB,41.4,980,1.6615154,M,,Right,5,0.49,0.38,52.206057
PC4323,LB,41.7,920,1.5235916,F,,Right,5,0.4,0.37,47.2311746
PC4324,LB,44,1040,1.7371992,M,,Right,5,0.57,0.48,49.8990925
PC4325,LB,34,400,1.5379994,M,,Right,5,0.45,0.36,51.3401918
PC4326,LB,39.9,780,1.6107263,M,,Right,5,0.51,0.52,44.4437478
PC4327,LB,53,1935,1.9067253,M,,Right,5,0.58,0.54,47.0454085
PC4328,LB,41.2,780,1.791991,M,,Right,5,0.51,0.3,59.5344551
PC4329,LB,35.4,670,1.546863,M,,Right,5,0.46,0.54,40.4260787
PC4330,LB,41.9,925,1.6367833,M,,Right,5,0.43,0.6,35.6279073
PC4331,LB,40.8,800,1.5876506,F,,Right,5,0.52,0.37,54.566686
PC4332,LB,30.3,330,1.2816562,M,,Right,5,0.39,0.26,56.3099325
PC4333,LB,43,830,1.6951557,M,,Right,5,0.53,0.39,53.6525418
PC4334,LB,44,960,1.5919754,F,,Right,5,0.46,0.47,44.3839401
PC4349,PL,25.2,119.64,0.9769251,F,,Right,5,0.1,0.21,25.4633451
PC4350,PL,17.4,38.03,0.5415976,M,,Right,5,0.05,0.16,17.3540246
PC4351,PL,19,54.31,0.7631699,M,,Right,5,0.08,0.19,22.8336542
PC4352,PL,21.2,76.26,0.8073999,F,,Right,5,0.04,0.16,14.0362435
PC4353,PL,17.4,38.43,0.622764,F,,Right,5,0.11,0.12,42.5104471
PC4354,PL,21.4,77.76,0.8188653,M,,Right,5,0.09,0.21,23.1985905
PC4355,PL,18,40.49,0.7022678,M,,Right,5,0.04,0.15,14.9314172
PC4356,PL,21.4,74.03,0.8507629,M,,Right,5,0.08,0.14,29.7448813
PC4357,PL,21.8,89.24,0.8423585,F,,Right,5,0.15,0.15,45
PC4358,PL,21,70.3,0.7967478,F,,Right,5,0.05,0.2,14.0362435
PC4359,PL,22.4,101.1,0.9494218,F,,Right,5,0.15,0.13,49.0856168
PC4360,PL,23.2,91.75,0.9113611,F,,Right,5,0.13,0.09,55.3048465
PC4361,PL,21.4,80.68,0.8588207,F,,Right,5,0.1,0.15,33.6900675
PC4363,PL,18.2,41.6,0.6655296,F,,Right,5,0.09,0.16,29.3577535
PC4364,PL,20.4,62.64,0.8018161,F,,Right,5,0.13,0.11,49.7636417
PC4365,PL,24,109.96,1.0183329,F,,Right,5,0.08,0.17,25.2011237
PC4366,PL,15.8,27.36,0.5192614,M,,Right,5,0.09,0.23,21.3706223
PC4367,PL,19.2,57.5,0.7213126,F,,Right,5,0.14,0.14,45
PC4368,PL,20,55.21,0.683579,F,,Right,5,0.12,0.17,35.217593
PC4369,PL,18.2,49.95,0.6556324,F,,Right,5,0.11,0.08,53.9726266
PC4372,PI,45.4,1030,1.9370398,M,,Right,5,0.7,0.69,45.4121927
PC4373,LB,37.6,730,1.3370201,F,,Right,5,0.35,0.34,45.8303155
PC4374,PI,37.6,500,1.452667,F,,Right,5,0.48,0.24,63.4349488
PC4375,LB,52.8,1500,1.7747447,F,,Right,5,0.59,0.54,47.5335589
PC4376,LB,40.4,765,1.4969956,F,,Right,5,0.45,0.43,46.3019527
PC4377,PI,52.4,1505,1.9358185,M,,Right,5,0.41,0.5,39.3517526
PC4378,PI,41.2,680,1.640413,M,,Right,5,0.39,0.48,39.0938589
PC4379,LB,46.2,1315,1.7602775,M,,Right,5,0.52,0.6,40.9143832
PC4380,PI,46,1255,1.8254595,M,,Right,5,0.51,0.56,42.3245733
PC4381,PI,36,525,1.6926995,M,,Right,5,0.52,0.7,36.6070748
PC4382,PI,44.2,940,1.7479365,M,,Right,5,0.52,0.6,40.9143832
PC4383,PI,34.6,375,1.4297385,M,,Right,5,0.45,0.46,44.3704014
PC4384,PI,43.8,995,1.6748957,F,,Right,5,0.54,0.36,56.3099325
PC4385,PI,36.4,380,1.5198259,M,,Right,5,0.36,0.52,34.6951535
PC4386,PI,36.6,435,1.5871455,M,,Right,5,0.29,0.43,33.9964592
PC4387,LB,40.6,750,1.5769722,M,,Right,5,0.34,0.36,43.363423
PC4388,LB,38,615,1.4050373,M,,Right,5,0.36,0.38,43.4518423
PC4389,PI,42,725,1.8302674,M,,Right,5,0.56,0.6,43.025066
PC4390,PI,37.8,485,1.5230084,M,,Right,5,0.35,0.44,38.5006537
PC4391,PL,23.6,100,0.9004726,F,,Right,5,0.08,0.17,25.2011237
PC4392,PI,30.2,235,1.3152082,F,,Right,5,0.31,0.33,43.2100894
PC4393,PI,36.7,575,1.5627847,M,,Right,5,0.34,0.29,49.5377725
