id,morph,length_cm,weight_g,sex,head_length,glos_on,glos_off,glos_middel,glos_total,max_on,max_off,max_total,den_on,den_off,den_total,pal_on,pal_off,pal_total,vom_on,vom_off,vom_total,pre_on,pre_off,pre_total,angle,morph_sex
59,PL,15.8,49,M,39.84,10,4,NA,4,12,3,15,10,6,16,10,2,12,3,NA,3,4,3,7,-2.51,PLM
60,PL,18.9,77,M,44.42,9,3,NA,3,15,3,18,14,4,18,12,4,16,6,2,8,7,1,8,12.46,PLM
61,PL,18.8,82,M,46.22,10,4,NA,4,13,4,17,12,4,16,12,4,16,6,NA,6,4,NA,4,-2.55,PLM
62,PL,14.4,40,M,33.83,8,5,1,6,12,1,13,10,5,15,10,3,13,5,2,7,6,NA,6,-4.06,PLM
90,PL,17.5,64,M,39.73,9,5,NA,5,11,6,17,11,5,16,1,7,8,5,1,6,5,1,6,9.49,PLM
91,PL,17.1,63,M,39.01,8,5,NA,5,12,4,16,10,5,15,10,5,15,4,1,5,5,2,7,19.29,PLM
92,PL,16.3,55,M,43.52,7,6,NA,6,14,4,18,12,3,15,14,3,17,4,3,7,7,NA,7,18.65,PLM
93,PL,16.5,61,M,41.08,9,4,NA,4,11,6,17,8,6,14,11,4,15,3,2,5,3,3,6,8.55,PLM
192,PL,15.5,40,F,31.36,7,4,NA,4,8,7,15,10,5,15,8,5,13,2,2,4,5,2,7,13.93,PLF
194,PL,16.0,42,M,38.57,7,7,NA,7,11,8,19,8,9,17,11,2,13,NA,5,5,5,3,8,7.61,PLM
195,PL,15.8,44,M,38.57,7,3,NA,3,12,6,18,14,4,18,13,3,16,4,2,6,5,NA,5,17.09,PLM
196,PL,16.3,45,F,36.51,10,2,NA,2,11,5,16,10,5,15,12,5,17,6,1,7,5,2,7,2.86,PLF
197,PL,19.3,70,M,42.18,11,4,NA,4,14,5,19,14,3,17,14,4,18,3,4,7,6,2,8,1.2,PLM
198,PL,19.2,77,M,44.96,12,2,NA,2,19,3,22,9,5,14,17,2,19,5,2,7,5,3,8,23.99,PLM
199,PL,17.7,53,F,37.28,9,5,NA,5,16,4,20,10,7,17,13,2,15,4,2,6,6,2,8,-4.57,PLF
200,PL,18.3,54,F,43.18,9,4,NA,4,13,5,18,13,2,15,11,6,17,2,1,3,6,2,8,13.48,PLF
201,PL,19.6,77,F,45.23,9,4,NA,4,10,7,17,10,2,12,14,4,18,4,2,6,6,1,7,11.94,PLF
202,PL,20.8,96,M,45.12,10,2,2,4,14,8,22,14,6,20,13,3,16,5,2,7,8,1,9,35.92,PLM
203,PL,15.8,50,M,35.98,7,6,NA,6,11,8,19,11,6,17,11,5,16,3,3,6,5,2,7,17.17,PLM
204,PL,16.2,57,M,37.99,10,4,1,5,15,4,19,15,6,21,15,3,18,5,1,6,6,2,8,12.37,PLM
205,PL,16.5,48,M,39.07,9,3,NA,3,13,3,16,13,7,20,12,3,15,6,NA,6,3,3,6,5.34,PLM
206,PL,18.0,69,M,41.86,8,6,NA,6,12,4,16,12,7,19,17,3,20,2,4,6,4,2,6,10.44,PLM
207,PL,19.8,88,M,48.17,9,2,NA,2,13,4,17,13,2,15,11,6,17,7,1,8,6,1,7,3.82,PLM
24,PI,23.6,145,M,55.69,8,1,NA,1,15,4,19,10,3,13,11,3,14,7,NA,7,6,3,9,33.04,PIM
25,PI,31.5,414,F,67.3,2,7,NA,7,10,8,18,11,4,15,10,7,17,3,2,5,3,3,6,50.68,PIF
26,PI,24.5,205,M,57.82,4,5,2,7,12,10,22,14,6,20,13,2,15,6,2,8,6,2,8,33.02,PIM
27,PI,37.5,727,M,103.21,11,3,NA,3,12,7,19,13,NA,13,18,NA,18,6,NA,6,8,NA,8,36.63,PIM
28,PI,36.0,547,M,82.82,NA,NA,NA,NA,12,8,20,14,NA,14,12,4,16,5,NA,5,5,3,8,52.86,PIM
29,PI,40.0,845,F,92.32,6,5,3,8,5,11,16,9,5,14,8,3,11,4,4,8,3,4,7,50.18,PIF
30,PI,33.5,560,M,82.35,7,3,1,4,10,8,18,12,1,13,12,1,13,4,2,6,4,3,7,55.52,PIM
63,PI,25.3,188,M,60.75,5,5,NA,5,12,10,22,13,6,19,12,4,16,5,2,7,5,1,6,32.83,PIM
65,PI,29.0,265,F,68.49,4,6,NA,6,11,9,20,9,5,14,13,2,15,4,1,5,5,3,8,39.66,PIF
66,PI,27.8,251,F,64.69,8,6,NA,6,13,7,20,11,7,18,12,3,15,4,3,7,NA,NA,NA,52.52,PIF
67,PI,28.5,250,M,68,7,4,NA,4,14,5,19,12,3,15,12,6,18,5,2,7,5,1,6,50.89,PIM
68,PI,27.7,268,M,66.97,6,4,NA,4,10,8,18,10,3,13,11,4,15,4,NA,4,6,NA,6,46.83,PIM
69,PI,28.2,250,M,66.73,4,6,NA,6,10,7,17,10,3,13,10,2,12,7,1,8,6,NA,6,54.7,PIM
72,PI,30.0,354,M,78.04,NA,NA,NA,NA,10,4,14,12,3,15,12,5,17,4,2,6,5,3,8,36.48,PIM
94,PI,50.3,1624,M,125.4,8,1,NA,1,15,3,18,15,3,18,13,3,16,7,1,8,7,1,8,44.17,PIM
95,PI,59.4,3626,M,151.2,12,1,NA,1,17,2,19,14,2,16,15,4,19,6,NA,6,7,NA,7,30.43,PIM
103,PI,32.5,439,F,75.43,5,5,NA,5,7,10,17,10,3,13,10,3,13,4,4,8,4,4,8,63.54,PIF
104,PI,35.7,527,M,81.41,7,4,NA,4,11,6,17,12,1,13,12,1,13,6,NA,6,5,NA,5,47.41,PIM
105,PI,35.3,683,M,83.97,12,2,NA,2,11,6,17,14,2,16,15,1,16,6,3,9,4,2,6,52.66,PIM
106,PI,50.6,1576,M,140.39,16,2,NA,2,17,7,24,12,7,19,18,3,21,8,NA,8,8,1,9,24.73,PIM
119,PI,21.7,111,F,52.39,12,3,NA,3,17,3,20,17,1,18,NA,NA,NA,6,3,9,7,1,8,37.77,PIF
120,PI,22.0,114,M,48.66,7,6,NA,6,17,2,19,12,5,17,16,2,18,NA,NA,NA,5,3,8,40.45,PIM
121,PI,23.4,118,F,50.55,6,6,1,7,10,10,20,11,5,16,15,5,20,5,NA,5,7,2,9,43.52,PIF
122,PI,24.2,147,F,55.59,7,6,NA,6,7,10,17,12,5,17,12,7,19,2,3,5,3,3,6,32.14,PIF
123,PI,18.7,69,M,45.83,11,3,1,4,13,7,20,11,7,18,15,4,19,1,3,4,7,1,8,23.04,PIM
124,PI,20.9,102,M,48.11,9,4,NA,4,14,4,18,12,5,17,17,4,21,4,2,6,7,1,8,32.66,PIM
125,PI,17.5,51,M,44.09,10,5,NA,5,16,6,22,13,4,17,16,4,20,4,1,5,5,2,7,17.03,PIM
126,PI,21.5,99,F,45.41,8,7,1,8,14,3,17,10,7,17,13,4,17,4,4,8,5,2,7,12.79,PIF
127,PI,23.0,117,M,52.08,9,2,NA,2,14,7,21,15,4,19,16,2,18,4,2,6,8,NA,8,56.85,PIM
128,PI,24.0,151,F,50.03,11,6,1,7,13,6,19,12,7,19,14,5,19,3,3,6,5,2,7,5.87,PIF
129,PI,26.5,212,F,57.85,4,6,NA,6,16,5,21,12,4,16,16,5,21,5,1,6,6,2,8,50.51,PIF
133,PI,22.6,138,M,53.32,8,6,NA,6,12,8,20,12,4,16,10,7,17,5,4,9,NA,NA,NA,46.93,PIM
139,PI,30.8,356,M,78.42,8,4,NA,4,17,6,23,14,2,16,12,2,14,5,1,6,7,1,8,36.51,PIM
143,PI,30.7,315,F,64.64,4,4,NA,4,8,5,13,12,6,18,15,3,18,6,1,7,7,3,10,43.62,PIF
146,PI,28.6,274,M,74.53,5,5,NA,5,16,6,22,10,5,15,18,NA,18,NA,NA,NA,9,NA,9,36.01,PIM
154,PI,25.2,161,F,57.92,10,4,NA,4,16,3,19,16,3,19,12,3,15,NA,NA,NA,4,2,6,27.08,PIF
