id,morph,length_cm,weight_g,sex,head_length,bone,teeth_count
8,PL,16.5,57,M,38.8,Premaxilla,7
53,PL,14.5,35,M,33.85,Premaxilla,6
54,PL,15.6,49,M,37.82,Premaxilla,6
55,PL,15.9,48,M,39.95,Premaxilla,6
56,PL,16.2,53,M,36.48,Premaxilla,5
57,PL,16.3,55,M,40.23,Premaxilla,5
58,PL,16.6,56,M,38.52,Premaxilla,8
59,PL,15.8,49,M,39.84,Premaxilla,7
60,PL,18.9,77,M,44.42,Premaxilla,8
61,PL,18.8,82,M,46.22,Premaxilla,4
62,PL,14.4,40,M,33.83,Premaxilla,6
90,PL,17.5,64,M,39.73,Premaxilla,6
91,PL,17.1,63,M,39.01,Premaxilla,7
92,PL,16.3,55,M,43.52,Premaxilla,7
93,PL,16.5,61,M,41.08,Premaxilla,6
192,PL,15.5,40,F,31.36,Premaxilla,7
194,PL,16,42,M,38.57,Premaxilla,8
195,PL,15.8,44,M,38.57,Premaxilla,5
196,PL,16.3,45,F,36.51,Premaxilla,7
197,PL,19.3,70,M,42.18,Premaxilla,8
198,PL,19.2,77,M,44.96,Premaxilla,8
199,PL,17.7,53,F,37.28,Premaxilla,8
200,PL,18.3,54,F,43.18,Premaxilla,8
201,PL,19.6,77,F,45.23,Premaxilla,7
202,PL,20.8,96,M,45.12,Premaxilla,9
203,PL,15.8,50,M,35.98,Premaxilla,7
204,PL,16.2,57,M,37.99,Premaxilla,8
205,PL,16.5,48,M,39.07,Premaxilla,6
206,PL,18,69,M,41.86,Premaxilla,6
207,PL,19.8,88,M,48.17,Premaxilla,7
24,PI,23.6,145,M,55.69,Premaxilla,9
25,PI,31.5,414,F,67.3,Premaxilla,6
26,PI,24.5,205,M,57.82,Premaxilla,8
27,PI,37.5,727,M,103.21,Premaxilla,8
28,PI,36,547,M,82.82,Premaxilla,8
29,PI,40,845,F,92.32,Premaxilla,7
30,PI,33.5,560,M,82.35,Premaxilla,7
63,PI,25.3,188,M,60.75,Premaxilla,6
65,PI,29,265,F,68.49,Premaxilla,8
66,PI,27.8,251,F,64.69,Premaxilla,NA
67,PI,28.5,250,M,68,Premaxilla,6
68,PI,27.7,268,M,66.97,Premaxilla,6
69,PI,28.2,250,M,66.73,Premaxilla,6
72,PI,30,354,M,78.04,Premaxilla,8
94,PI,50.3,1624,M,125.4,Premaxilla,8
95,PI,59.4,3626,M,151.2,Premaxilla,7
103,PI,32.5,439,F,75.43,Premaxilla,8
104,PI,35.7,527,M,81.41,Premaxilla,5
105,PI,35.3,683,M,83.97,Premaxilla,6
106,PI,50.6,1576,M,140.39,Premaxilla,9
119,PI,21.7,111,F,52.39,Premaxilla,8
120,PI,22,114,M,48.66,Premaxilla,8
121,PI,23.4,118,F,50.55,Premaxilla,9
122,PI,24.2,147,F,55.59,Premaxilla,6
123,PI,18.7,69,M,45.83,Premaxilla,8
124,PI,20.9,102,M,48.11,Premaxilla,8
125,PI,17.5,51,M,44.09,Premaxilla,7
126,PI,21.5,99,F,45.41,Premaxilla,7
127,PI,23,117,M,52.08,Premaxilla,8
128,PI,24,151,F,50.03,Premaxilla,7
129,PI,26.5,212,F,57.85,Premaxilla,8
133,PI,22.6,138,M,53.32,Premaxilla,NA
139,PI,30.8,356,M,78.42,Premaxilla,8
143,PI,30.7,315,F,64.64,Premaxilla,10
146,PI,28.6,274,M,74.53,Premaxilla,9
154,PI,25.2,161,F,57.92,Premaxilla,6
9,SB,12.5,22,F,32.16,Palatine,15
10,SB,14,37,F,36.2,Palatine,14
11,SB,16,23,F,28.7,Palatine,15
14,SB,12.5,25,F,29.1,Palatine,NA
16,SB,12.5,23,F,31.03,Palatine,9
17,SB,13,24,F,31.3,Palatine,15
18,SB,14,37,F,36,Palatine,12
19,SB,14.5,33,F,34.1,Palatine,14
22,SB,14.5,30,F,34.6,Palatine,15
81,SB,12.2,23,F,29.59,Palatine,16
82,SB,13.1,24,F,31.45,Palatine,15
83,SB,14.5,33,M,38.55,Palatine,10
84,SB,14,31,F,34.48,Palatine,17
85,SB,15,42,M,39.03,Palatine,13
