id_me;morph;length_cm;weight_g;sex;age;top_left_1;side_left_1;angle_left_1;top_right_1;side_right_1;angle_right_1;side_left_5;top_left_5;angle_left_5;side_right_5;top_right_5;angle_right_5;morph_sex
PC4243;PI;36;565;M;;0,61;0,58;46,44412553;0,59;0,66;41,79478407;0,66;0,67;45,43078722;0,59;0,55;42,99044619;PI_M
PC4245;PI;27,2;245;M;;0,35;0,22;57,84770486;0,33;0,3;47,72631099;0,21;0,34;58,29857033;0,29;0,4;54,05788813;PI_M
PC4246;SB;29,7;285;F;;0,25;0,19;52,76516602;0,24;0,28;40,60129465;0,32;0,37;49,14462374;0,23;0,32;54,2933086;SB_F
PC4249;PI;47;1150;F;;0,57;0,57;45;0,57;0,51;48,17983012;0,46;0,57;51,09586154;0,51;0,6;49,63546343;PI_F
PC4250;PI;45;905;F;;0,48;0,6;38,65980825;0,45;0,54;39,80557109;0,55;0,55;45;0,51;0,56;47,67542666;PI_F
PC4251;PI;42,9;945;F;;0,43;0,47;42,45519562;0,47;0,64;36,29262973;0,51;0,48;43,26429541;0,47;0,43;42,45519562;PI_F
PC4252;PI;32,8;430;M;;0,36;0,42;40,60129465;0,22;0,52;22,93210044;0,4;0,35;41,18592517;0,44;0,29;33,38851358;PI_M
PC4253;PI;31;360;F;;0,34;0,25;53,67317405;0,27;0,35;37,64762064;0,22;0,29;52,81529355;0,35;0,22;32,15229514;PI_F
PC4254;PI;31,5;340;F;;0,19;0,28;34,15969455;0,27;0,3;41,9872125;0,29;0,21;35,90972308;0,24;0,16;33,69006753;PI_F
PC4255;PI;34,4;375;F;;0,39;0,35;48,09405806;0,41;0,27;56,633634;0,39;0,37;43,49256424;0,23;0,38;58,81502534;PI_F
PC4256;PI;28,9;265;M;;0,38;0,54;35,13419306;0,33;0,39;40,23635831;0,36;0,38;46,5481577;0,33;0,3;42,27368901;PI_M
PC4257;PI;29,6;265;M;;0,17;0,41;22,5205656;0,23;0,39;30,5297059;0,33;0,1;16,85839877;0,29;0,25;40,7636052;PI_M
PC4258;PI;30;240;F;;0,32;0,26;50,90614111;0,31;0,29;46,90915243;0,33;0,27;39,28940686;0,18;0,18;45;PI_F
PC4263;PL;26,4;185;F;;0,18;0,23;38,04704253;0,18;0,13;54,16234705;0,23;0,16;34,82448916;0,21;0,27;52,12501635;PL_F
PC4264;PL;22;125;M;;0,21;0,14;56,30993247;0,11;0,22;26,56505118;0,25;0,21;40,03025927;0,16;0,2;51,34019175;PL_M
PC4266;PL;25;160;F;;0,15;0,2;36,86989765;0,2;0,22;42,27368901;0,18;0,18;45;0,23;0,15;33,11134196;PL_F
PC4267;PL;27,1;200;F;;0,29;0,32;42,18444332;0,25;0,21;49,96974073;0,33;0,27;39,28940686;0,27;0,25;42,79740184;PL_F
PC4268;SB;22;98,33;F;;0,29;0,2;55,40771131;0,3;0,22;53,74616226;0,16;0,29;61,11341823;0,23;0,29;51,58194466;SB_F
PC4269;SB;22,5;113,25;M;;0,23;0,25;42,61405597;0,21;0,32;33,27488798;0,24;0,18;36,86989765;0,25;0,2;38,65980825;SB_M
PC4270;SB;21,9;111,02;F;;0,29;0,2;55,40771131;0,25;0,3;39,80557109;0,22;0,27;50,82634203;0,22;0,27;50,82634203;SB_F
PC4271;SB;20,2;82,76;F;;0,24;0,22;47,48955292;0,22;0,19;49,18491613;0,17;0,23;53,53076561;0,13;0,25;62,52556837;SB_F
PC4272;SB;19,6;78,88;F;;0,33;0,22;56,30993247;0,28;0,19;55,84030545;0,21;0,26;51,07245641;0,26;0,27;46,08092419;SB_F
PC4273;SB;20,6;100,88;F;;0,27;0,22;50,82634203;0,23;0,21;47,6025622;0,16;0,29;61,11341823;0,19;0,23;50,44033203;SB_F
PC4274;SB;19;77,67;F;;0,29;0,15;62,65012422;0,27;0,14;62,59242456;0,16;0,29;61,11341823;0,21;0,25;49,96974073;SB_F
PC4275;SB;18,6;70,99;F;;0,32;0,22;55,49147701;0,27;0,21;52,12501635;0,14;0,27;62,59242456;0,19;0,21;47,86240523;SB_F
PC4276;SB;17,8;73,1;F;;0,21;0,19;47,86240523;0,21;0,15;54,46232221;0,22;0,19;40,81508387;0,18;0,18;45;SB_F
PC4277;SB;18,9;78,02;F;;0,26;0,18;55,30484647;0,23;0,16;55,17551084;0,12;0,21;60,2551187;0,16;0,14;41,18592517;SB_F
PC4278;SB;19,1;84,33;F;;0,26;0,15;60,01836063;0,26;0,22;49,76364169;0,09;0,24;69,44395478;0,15;0,25;59,03624347;SB_F
PC4279;SB;20,5;82,97;M;;0,26;0,17;56,82148834;0,23;0,23;45;0,2;0,25;51,34019175;0,2;0,23;48,9909131;SB_M
PC4280;SB;19;75,13;M;;0,27;0,22;50,82634203;0,26;0,27;43,91907581;0,22;0,24;47,48955292;0,23;0,22;43,72696998;SB_M
PC4281;SB;13;19;F;;0,11;0,1;47,72631099;0,11;0,13;40,23635831;0,09;0,11;50,71059314;0,1;0,13;52,43140797;SB_F
PC4282;SB;20;80,29;M;;0,32;0,23;54,2933086;0,3;0,2;56,30993247;0,19;0,29;56,76828893;0,25;0,24;43,83086067;SB_M
PC4283;SB;16;44,21;F;;0,26;0,12;65,22485943;0,24;0,19;51,63251462;0,17;0,24;54,68878656;0,16;0,22;53,97262661;SB_F
PC4284;SB;18,5;75,44;F;;0,31;0,21;55,88552705;0,24;0,16;56,30993247;0,11;0,23;64,44003483;0,17;0,21;51,00900596;SB_F
PC4285;SB;17,5;67,88;F;;0,25;0,2;51,34019175;0,24;0,24;45;0,15;0,2;53,13010235;0,21;0,2;43,60281897;SB_F
PC4287;SB;14;28,88;F;;0,16;0,09;60,64224646;0,14;0,12;49,39870535;0,09;0,2;65,77225468;0,13;0,16;50,90614111;SB_F
PC4288;SB;11,8;23,27;F;;0,13;0,16;39,09385889;0,12;0,11;47,48955292;0,1;0,16;57,99461679;0,1;0,16;57,99461679;SB_F
PC4290;SB;13;21,38;F;;0,18;0,12;56,30993247;0,16;0,09;60,64224646;0,11;0,15;53,74616226;0,15;0,16;46,84761027;SB_F
PC4291;SB;12,5;16,71;M;;0,18;0,12;56,30993247;0,16;0,14;48,81407483;0,13;0,19;55,61965528;0,16;0,16;45;SB_M
PC4292;SB;10,6;12,42;F;;0,14;0,08;60,2551187;0,15;0,14;46,97493401;0,07;0,13;61,69924423;0,12;0,16;53,13010235;SB_F
PC4293;SB;12,4;17,9;M;;0,19;0,16;49,89909245;0,15;0,18;39,80557109;0,14;0,17;50,52754015;0,14;0,15;46,97493401;SB_M
PC4294;SB;12,1;18,33;M;;0,14;0,13;47,1210964;0,17;0,21;38,99099404;0,13;0,18;54,16234705;0,2;0,17;40,36453657;SB_M
PC4295;SB;12,9;26,57;M;;0,23;0,16;55,17551084;0,16;0,17;43,26429541;0,17;0,17;45;0,15;0,17;48,57633437;SB_M
PC4297;SB;11,1;14,46;F;;0,15;0,09;59,03624347;0,13;0,15;40,91438322;0,15;0,12;38,65980825;0,11;0,13;49,76364169;SB_F
PC4298;SB;10,9;15,75;F;;0,14;0,06;66,80140949;0,15;0,1;56,30993247;0,09;0,16;60,64224646;0,08;0,17;64,79887635;SB_F
PC4299;SB;11,5;15,88;M;;0,18;0,14;52,12501635;0,17;0,16;46,73570459;0,09;0,16;60,64224646;0,08;0,16;63,43494882;SB_M
PC4300;SB;10,9;13,76;M;;0,16;0,15;46,84761027;0,17;0,15;48,57633437;0,15;0,18;50,19442891;0,11;0,17;57,09475708;SB_M
PC4303;PI;23,7;141,58;M;;0,21;0,27;37,87498365;0,32;0,27;49,84400038;0,22;0,26;49,76364169;0,26;0,3;49,08561678;PI_M
PC4305;LB;37,1;543,07;M;;0,52;0,4;52,43140797;0,44;0,35;51,49934628;0,35;0,41;49,51398846;0,43;0,51;49,86451444;LB_M
PC4306;LB;34,2;550;M;;0,36;0,3;50,19442891;0,4;0,36;48,0127875;0,25;0,32;52,00126756;0,31;0,37;50,04245107;LB_M
PC4307;LB;50;1000;M;;0,51;0,69;36,46923439;0,47;0,67;35,04937331;0,58;0,5;40,7636052;0,66;0,55;39,80557109;LB_M
PC4308;LB;50,1;1195;M;;0,71;0,48;55,93909118;0,6;0,66;42,27368901;0,54;0,53;44,46454101;0,58;0,7;50,35582504;LB_M
PC4309;LB;52,1;1420;M;;0,54;0,63;40,60129465;0,5;0,63;38,43730149;0,61;0,65;46,81830296;0,45;0,49;47,43664825;LB_M
PC4310;LB;38,8;610;M;;0,46;0,49;43,19126068;0,58;0,56;46,00508601;0,5;0,53;46,66833745;0,44;0,48;47,48955292;LB_M
PC4311;LB;44;995;F;;0,56;0,51;47,67542666;0,62;0,5;51,11550357;0,38;0,44;49,18491613;0,45;0,54;50,19442891;LB_F
PC4312;LB;42,6;1080;F;;0,57;0,51;48,17983012;0,55;0,62;41,57612876;0,42;0,49;49,39870535;0,35;0,42;50,19442891;LB_F
PC4313;LB;38,2;700;M;;0,51;0,5;45,56726641;0,4;0,36;48,0127875;0,3;0,46;56,88865804;0,35;0,41;49,51398846;LB_M
PC4314;LB;45,1;1135;M;;0,77;0,42;61,38954033;0,73;0,61;50,11731485;0,47;0,66;54,54452557;0,58;0,69;49,95027223;LB_M
PC4315;LB;49;1565;M;;0,48;0,69;34,82448916;0,51;0,73;34,9393102;0,58;0,5;40,7636052;0,59;0,51;40,84035771;LB_M
PC4316;LB;49,8;1370;M;;0,52;0,57;42,37359436;0,47;0,75;32,07400088;0,43;0,8;61,74197039;0,46;0,9;62,92791976;LB_M
PC4317;LB;43,8;1030;F;;0,56;0,55;45,51616423;0,48;0,39;50,90614111;0,54;0,53;44,46454101;0,38;0,4;46,46880071;LB_F
PC4318;LB;36,3;545;M;;0,56;0,36;57,26477373;0,48;0,42;48,81407483;0,32;0,42;52,69605172;0,32;0,42;52,69605172;LB_M
PC4319;LB;47,4;1085;F;;0,63;0,47;53,27589283;0,53;0,38;54,3601908;0,29;0,46;57,77124256;0,3;0,48;57,99461679;LB_F
PC4320;LB;32,9;385;M;;0,35;0,26;53,39292519;0,36;0,41;41,28471089;0,3;0,31;45,93919095;0,35;0,31;41,53177074;LB_M
PC4321;LB;30,8;320;M;;0,38;0,39;44,2559408;0,4;0,46;41,0090869;0,33;0,34;45,8550974;0,43;0,4;42,92996935;LB_M
PC4322;LB;41,4;980;M;;0,42;0,41;45,6902772;0,47;0,3;57,44999651;0,35;0,45;52,12501635;0,38;0,49;52,206057;LB_M
PC4323;LB;41,7;920;F;;0,51;0,22;66,66595872;0,44;0,22;63,43494882;0,22;0,45;63,94650469;0,37;0,4;47,23117461;LB_F
PC4324;LB;44;1040;M;;0,69;0,34;63,76806007;0,67;0,51;52,7218258;0,3;0,67;65,87901688;0,48;0,57;49,89909245;LB_M
PC4325;LB;34;400;M;;0,51;0,36;54,78240703;0,51;0,4;51,89242312;0,29;0,47;58,32453126;0,36;0,45;51,34019175;LB_M
PC4326;LB;39,9;780;M;;0,63;0,41;56,94417719;0,54;0,5;47,20259816;0,37;0,56;56,54669055;0,52;0,51;44,44374777;LB_M
PC4327;LB;53;1935;M;;0,55;0,49;48,30186567;0,65;0,7;42,8789036;0,82;0,63;37,53480914;0,54;0,58;47,04540849;LB_M
PC4328;LB;41,2;780;M;;0,45;0,43;46,30195267;0,46;0,42;47,6025622;0,32;0,53;58,8775298;0,3;0,51;59,53445508;LB_M
PC4329;LB;35,4;670;M;;0,45;0,36;51,34019175;0,5;0,35;55,0079798;0,52;0,51;44,44374777;0,54;0,46;40,42607874;LB_M
PC4330;LB;41,9;925;M;;0,57;0,44;52,3343788;0,44;0,33;53,13010235;0,36;0,64;60,64224646;0,6;0,43;35,62790729;LB_M
PC4331;LB;40,8;800;F;;0,46;0,25;61,47688139;0,45;0,4;48,36646066;0,25;0,51;63,88608737;0,37;0,52;54,56668599;LB_F
PC4332;LB;30,3;330;M;;0,41;0,29;54,72757855;0,36;0,3;50,19442891;0,25;0,47;61,99082329;0,26;0,39;56,30993247;LB_M
PC4333;LB;43;830;M;;0,53;0,39;53,65254179;0,59;0,45;52,66680426;0,41;0,59;55,20397372;0,39;0,53;53,65254179;LB_M
PC4334;LB;44;960;F;;0,51;0,4;51,89242312;0,58;0,54;47,04540849;0,4;0,47;49,60009567;0,47;0,46;44,38394009;LB_F
PC4349;PL;25,2;119,64;F;;0,2;0,21;43,60281897;0,15;0,3;26,56505118;0,2;0,18;41,9872125;0,21;0,1;25,46334506;PL_F
PC4350;PL;17,4;38,03;M;;0,1;0,18;29,0546041;0,11;0,17;32,90524292;0,18;0,06;18,43494882;0,16;0,05;17,35402464;PL_M
PC4351;PL;19;54,31;M;;0,14;0,19;36,38435182;0,07;0,2;19,29004622;0,16;0,07;23,62937773;0,19;0,08;22,83365418;PL_M
PC4352;PL;21,2;76,26;F;;0,15;0,13;49,08561678;0,1;0,13;37,56859203;0,17;0,04;13,24051992;0,16;0,04;14,03624347;PL_F
PC4353;PL;17,4;38,43;F;;0,12;0,12;45;0,09;0,15;30,96375653;0,12;0,12;45;0,12;0,11;42,51044708;PL_F
PC4354;PL;21,4;77,76;M;;0,05;0,23;12,26477373;0,1;0,25;21,80140949;0,19;0,06;17,52556837;0,21;0,09;23,19859051;PL_M
PC4355;PL;18;40,49;M;;0,05;0,2;14,03624347;0,06;0,15;21,80140949;0,17;0,04;13,24051992;0,15;0,04;14,93141718;PL_M
